Key,KO,EN,JA
ui_start_btn,잠입 시작,Start Infiltration,潜入開始
ui_cashout_btn,그만! (도망치기),Escape!,脱出！
ui_next_btn,다음 잠입 준비,Prepare Next,次の潜入準備
ui_busted_msg,들켰습니다! (0배),BUSTED! (0x),見つかりました！ (0倍)
GraphGame_Desc,경비병의 눈을 피해 최대한 많은 보물을 훔쳐 탈출하세요!,Dodge the guards and steal as many treasures as you can!,警備兵の目を避けてできるだけ 많은宝物を盗んで脱출してください！
GraphGame_Win_Desc,보물 탈취 성공!!!,Success Stealing Treasures!!!,宝物奪取成功!!!
GraphGame_Lose_Desc,들켰다!!!,Busted!!!,見つかった!!!
GraphGame_Count,남은 고블린 수,Goblins,残りのゴブリン数
Chapter_Name_0,고블린 숲,Goblin Forest,ゴブリンの森
Chapter_Name_1,어둠의 동굴,Dark Cave,闇の洞窟
Chapter_Name_2,고블린 요새,Goblin Fortress,ゴブリンの要塞
Notice_Max_Upgrade,더 이상 강화할 수 없습니다.,Max Upgrade,これ以上強化できません。
Notice_No_Currency,재화가 부족합니다.,Not enough currency,通貨が不足しています。
Notice_No_Items,아이템이 없습니다.,No items available,アイテムがありません。
ui_sell_btn,판매,Sell,売却
ui_forge_btn,강화,Forge,強化
Notice_Enhance_Success,강화 성공!,Enhance Success!,強化成功！
Notice_Enhance_Fail,강화 실패!,Enhance Failed!,強化失敗！
Notice_Enhance_Destroy,장비 파괴...,Equipment Destroyed...,装備破壊...
